"","sample1_Tumor","sample2_Tumor","sample3_Tumor","sample4_Tumor","sample5_Tumor","sample1_Normal","sample2_Normal","sample3_Normal","sample4_Normal","sample5_Normal"
" Bilirubin","Tumor","Tumor","Tumor","Tumor","Tumor","Normal","Normal","Normal","Normal","Normal"
" N-acetylornithine","45816.05922","45816.05922","54077.81964","9097.202402","2706.753478","3954.847588","8377.048034","51280.69135","8377.048034","26342.44101"
" 3'-Hydroxycinnamic acid","91809.96476","7128.212329","79163.89078","84702.22153","141557.6285","5383.580816","7139.429899","99093.7264","30700.64189","8649.692231"
" Nicotinic acid","30718.2227","37482.91834","36073.09883","9838.891014","63783.33599","16750.20471","3044.917652","20352.11694","22376.33094","23999.54586"
" Phthalic acid","10947.06949","31082.74998","6078.236041","252561.0961","256331.4947","99074.27647","95708.81377","339118.3783","9362.008929","247839.6906"
" Gallic Acid","748308.0708","267921.8662","96419.09938","35716.22242","111749.3845","129784.915","18224.67948","58666.65114","57983.5118","57797.1772"
" Adipic Acid","9826.034225","25156.03844","17616.717","10848.1636","15798.44087","13108.35466","10848.1636","10848.1636","9204.067259","10848.1636"
" Tyrosine","5780.690446","98046.72157","979054.2963","84435.02936","62227.43782","70822.68687","96032.43877","31281.6332","8827063.988","952765.8326"
" Sucrose","12642.42011","7552.74706","8602.962801","9647.710409","14816.80734","1746.724351","9095.393159","18053.39299","24204.71344","9584.851223"
" Citrulline","761973.8431","78661.45071","580653.2729","303870.0547","206630.0679","76322.32333","223172.2373","271787.8757","74497.80739","97822.35641"
" 2-(1-methyl-1H-imidazol-4-yl)acetic acid","7507.594195","56527.37997","60679.33647","5222.915925","2087.062157","9169.74687","15863.84316","19861.99267","5257.631689","11013.2524"
" l-Pipecolic acid","1536694.88","4526.164268","4867.722478","3793.668149","240015.1043","240015.1043","1282.473395","788312.0998","240015.1043","480269.0099"
" Pseudouridine","8176.88285","5637.140457","9279.577253","8774.729093","8298.5278","25692.25762","59258.36149","5683.867369","7020.725748","77890.45692"
" L-Tartaric acid","23297.09701","8428.341623","22076.85472","381066.3828","161871.7222","29344.47449","34934.85588","4786.738485","410221.1277","8739.636165"
" Lidocaine","61248.49253","42416.59813","3497.039181","63962.58096","78913.02075","34757.23147","15032.16258","258613.3207","78591.30985","64017.52059"
" Hypotaurine","2050.317471","2229.516471","6053.594543","4937.296708","6224.805377","5571.52515","3824.460304","6919.444717","5788.173417","11453.9633"
" L-Saccharopine","17423.04513","54631.66314","44115.46756","9140.966637","9666.456977","31245.07741","53169.61951","5894.380976","6016.426158","7556.052983"
" Orotic acid","9048.546894","9048.546894","11272.45836","7201.520018","50578.21116","43878.32141","71444.59206","66117.14023","37065.37102","71821.4075"
" Isoleucylisoleucine","9039.461345","71818.2284","5019.678379","7391.548932","9945.378706","5575.088075","6430.953547","6894.056141","7409.589164","8096.38858"
" Levocarnitine","38794.35494","9916.526185","54542.9279","7537.813612","756158.021","75570.546","9545.844172","6581.988232","827489.7575","8805.308882"
" Apigenin","38290.3562","46663.83646","36305.85039","54417.371","104502.2704","6621.697516","20932.8522","31711.38882","5535.361969","158828.4066"
" Riboflavin","494868.9604","1955195.176","8839.110485","65151.12544","6686.845285","495657.3072","396654.9172","965151.9919","2297954.604","195346.4476"
" Tryptophan","95028.15029","722350.0993","951878.4589","4770.301601","16993.60954","9468.475194","67073.46791","8774.926453","96081.63851","7553.171193"
" Arachidonic Acid","7932.232369","6688.867532","14828.88501","6058.54488","7746.458115","3725.059138","4212.32158","6736.049445","5819.406429","6774.377764"
" Ferulic acid","7776.754814","7246.401286","5920.119765","5433.675267","7296.834981","5642.783665","4390.804054","6931.081147","9832.139841","5826.979074"
" Pantothenic Acid","1493.931761","54180.65408","69760.07931","8096.383452","8108.133402","4622.005436","4928.721284","7581.663398","255190.4953","8475.343945"
" Inosine","30425.9887","17549.64174","11089.70059","30945.92082","32974.61193","27896.81793","29182.00971","34491.43785","55847.17905","250456.3557"
" Glyoxylic acid","520678.8838","75243.31041","9936.683852","195954.3204","57217.61482","667800.3433","95668.36064","44730.43883","38267.00591","70373.62061"
